agent,time,x,y,z,original_x,original_y,original_z,attractive_force_x,attractive_force_y,attractive_force_z,repulsive_force_x,repulsive_force_y,repulsive_force_z,total_force_x,total_force_y,total_force_z,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
1,3.8,4.0,19.0,0.0,3.8,19.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.20000000000000018,0.0,0.20000000000000018,0.20000000000000018
2,3.8,10.0,10.0,4.0,10.0,10.0,3.8,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,0.0,0.20000000000000018,0.20000000000000018
3,3.8,15.0,0.0,0.0,15.2,0.0,0.0,-0.19999999999999987,0.0,0.0,0.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
0,4.0,4.2,0.0,0.0,4.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
1,4.0,4.2,19.0,0.0,4.0,19.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
2,4.0,10.0,10.0,4.2,10.0,10.0,4.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
3,4.0,14.8,0.0,0.0,15.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
0,4.2,4.4,0.0,0.0,4.2,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
1,4.2,4.4,19.0,0.0,4.2,19.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
2,4.2,10.0,10.0,4.4,10.0,10.0,4.2,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
3,4.2,14.6,0.0,0.0,14.8,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,4.4,4.6000000000000005,0.0,0.0,4.4,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
1,4.4,4.6000000000000005,19.0,0.0,4.4,19.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
2,4.4,10.0,10.0,4.6000000000000005,10.0,10.0,4.4,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
3,4.4,14.4,0.0,0.0,14.6,0.0,0.0,-0.19999999999999987,0.0,0.0,0.0,0.0,0.0,-0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
0,4.6,4.8,0.0,0.0,4.6,0.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.20000000000000018,0.0,0.20000000000000018,0.20000000000000018
1,4.6,4.8,19.0,0.0,4.6,19.0,0.0,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,0.0,0.0,0.20000000000000018,0.0,0.20000000000000018,0.20000000000000018
